2023-05-24 01:47:31,846 INFO | Server [0] was established !
2023-05-24 01:47:31,846 INFO | Server [0] is listening !
2023-05-24 01:47:31,846 INFO | Server [1] was established !
2023-05-24 01:47:31,846 INFO | Server [1] is listening !
2023-05-24 01:47:31,847 INFO | Server [2] was established !
2023-05-24 01:47:31,847 INFO | Server [2] is listening !
2023-05-24 01:47:31,847 INFO | Server [3] was established !
2023-05-24 01:47:31,848 INFO | Server [3] is listening !
2023-05-24 01:47:31,848 INFO | Server [4] was established !
2023-05-24 01:47:31,848 INFO | Server [4] is listening !
2023-05-24 01:47:31,849 INFO | Server [5] was established !
2023-05-24 01:47:31,849 INFO | Server [5] is listening !
2023-05-24 01:47:31,849 INFO | Server [6] was established !
2023-05-24 01:47:31,850 INFO | Server [7] was established !
2023-05-24 01:47:31,850 INFO | Client [0] was established !
2023-05-24 01:47:31,852 INFO | Server [6] is listening !
2023-05-24 01:47:31,903 INFO | Client [0] is listening!
2023-05-24 01:47:31,903 INFO | Server [7] is listening !
2023-05-24 01:47:31,906 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:47:31,907 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:32,150 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:32,167 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:47:32,168 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:32,401 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:32,651 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:32,653 INFO 3 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:47:32,656 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:32,840 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:32,863 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 01:47:32,866 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:47:32,870 INFO 4 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:47:32,871 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:32,872 INFO 0 <---- 4 with PREPARE - [0, 0]
2023-05-24 01:47:32,874 INFO 1 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:33,024 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,069 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 01:47:33,070 INFO 0 <---- 2 with PREPARE - [0, 1]
2023-05-24 01:47:33,131 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:47:33,131 INFO 5 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:47:33,133 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,162 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,178 INFO 1 <---- 4 with PREPARE - [0, 0]
2023-05-24 01:47:33,257 INFO 2 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:33,305 INFO 1 <---- 2 with PREPARE - [0, 1]
2023-05-24 01:47:33,318 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,334 INFO 6 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:47:33,338 INFO 0 <---- 6 with PREPARE - [0, 0]
2023-05-24 01:47:33,349 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,396 INFO 2 <---- 4 with PREPARE - [0, 0]
2023-05-24 01:47:33,412 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,414 INFO 0 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:33,459 INFO 3 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 01:47:33,461 INFO 0 <---- 3 with PREPARE - [0, 1]
2023-05-24 01:47:33,473 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,520 INFO 3 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:33,537 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:47:33,553 INFO 7 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:47:33,557 INFO 0 <---- 7 with PREPARE - [0, 0]
2023-05-24 01:47:33,584 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,631 INFO 3 <---- 2 with PREPARE - [0, 1]
2023-05-24 01:47:33,633 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,634 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,636 INFO 0 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:33,678 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,692 INFO 3 <---- 4 with PREPARE - [0, 0]
2023-05-24 01:47:33,724 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:47:33,740 INFO 2 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:33,740 INFO 4 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:33,788 INFO 1 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:33,836 INFO 1 <---- 6 with PREPARE - [0, 0]
2023-05-24 01:47:33,867 INFO 1 <---- 3 with PREPARE - [0, 1]
2023-05-24 01:47:33,873 INFO 0 <---- 1 with PRE_PREPARE [1, 0]
2023-05-24 01:47:33,875 INFO 1 <---- 0 with PREPARE - [1, 0]
2023-05-24 01:47:33,881 INFO 5 <---- 4 with PREPARE - [0, 0]
2023-05-24 01:47:33,897 INFO 1 <---- 7 with PREPARE - [0, 0]
2023-05-24 01:47:33,925 INFO 3 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:33,926 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:33,941 INFO 4 <---- 2 with PREPARE - [0, 1]
2023-05-24 01:47:33,974 INFO 3 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:33,975 INFO 4 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 01:47:33,978 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:47:33,981 INFO 1 <---- 0 with COMMIT - [0, 1]
2023-05-24 01:47:33,989 INFO 2 <---- 3 with PREPARE - [0, 1]
2023-05-24 01:47:34,020 INFO 5 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:47:34,038 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:34,042 INFO 0 <---- 5 with COMMIT - [0, 0]
2023-05-24 01:47:34,116 INFO 6 <---- 4 with PREPARE - [0, 0]
2023-05-24 01:47:34,118 INFO 2 <---- 6 with PREPARE - [0, 0]
2023-05-24 01:47:34,120 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:34,123 INFO 0 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:47:34,123 INFO @@@
2023-05-24 01:47:34,126 INFO Client [0] has received message :result, from ['127.0.0.1', 49717] with number [0, 0]
2023-05-24 01:47:34,130 INFO 5 <---- 2 with PREPARE - [0, 1]
2023-05-24 01:47:34,146 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:47:34,162 INFO 2 <---- 1 with PRE_PREPARE [1, 0]
2023-05-24 01:47:34,165 INFO 0 <---- 2 with PREPARE - [1, 0]
2023-05-24 01:47:34,194 INFO 6 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:47:34,209 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:47:34,224 INFO 2 <---- 0 with COMMIT - [0, 1]
2023-05-24 01:47:34,226 INFO 4 <---- 3 with PREPARE - [0, 1]
2023-05-24 01:47:34,256 INFO 5 <---- 0 with COMMIT - [0, 0]
