2023-05-24 01:53:33,968 INFO | Server [0] was established !
2023-05-24 01:53:33,968 INFO | Server [0] is listening !
2023-05-24 01:53:33,969 INFO | Server [1] was established !
2023-05-24 01:53:33,969 INFO | Server [1] is listening !
2023-05-24 01:53:33,970 INFO | Server [2] was established !
2023-05-24 01:53:33,970 INFO | Server [2] is listening !
2023-05-24 01:53:33,970 INFO | Server [3] was established !
2023-05-24 01:53:33,970 INFO | Server [3] is listening !
2023-05-24 01:53:33,970 INFO | Server [4] was established !
2023-05-24 01:53:33,970 INFO | Server [4] is listening !
2023-05-24 01:53:33,970 INFO | Server [5] was established !
2023-05-24 01:53:33,970 INFO | Server [5] is listening !
2023-05-24 01:53:33,971 INFO | Server [6] was established !
2023-05-24 01:53:33,971 INFO | Server [7] was established !
2023-05-24 01:53:33,971 INFO | Client [0] was established !
2023-05-24 01:53:33,972 INFO | Server [6] is listening !
2023-05-24 01:53:33,972 INFO | Client [0] is listening!
2023-05-24 01:53:33,972 INFO | Server [7] is listening !
2023-05-24 01:53:36,224 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,227 INFO 0 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:36,229 INFO 0 <---- 2 with PRE_PREPARE [1, 0]
2023-05-24 01:53:36,230 INFO 1 <---- 0 with PREPARE - [1, 0]
2023-05-24 01:53:36,284 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,285 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,348 INFO 3 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:36,351 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,354 INFO 0 <---- 0 with COMMIT - [0, 1]
2023-05-24 01:53:36,363 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,364 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,379 INFO 2 <---- 0 with PREPARE - [1, 0]
2023-05-24 01:53:36,381 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,382 INFO 7 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 01:53:36,385 INFO 0 <---- 7 with PREPARE - [0, 1]
2023-05-24 01:53:36,394 INFO 1 <---- 5 with COMMIT - [0, 0]
2023-05-24 01:53:36,409 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,458 INFO 3 <---- 0 with COMMIT - [0, 1]
2023-05-24 01:53:36,474 INFO 7 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,491 INFO 4 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:36,551 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,553 INFO 5 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,567 INFO 6 <---- 1 with PREPARE - [0, 0]
