2023-05-22 21:38:00,502 INFO | Server [0] was established !
2023-05-22 21:38:00,503 INFO | Server [0] is listening !
2023-05-22 21:38:00,504 INFO | Server [1] was established !
2023-05-22 21:38:00,504 INFO | Server [1] is listening !
2023-05-22 21:38:00,505 INFO | Server [2] was established !
2023-05-22 21:38:00,505 INFO | Server [2] is listening !
2023-05-22 21:38:00,505 INFO | Server [3] was established !
2023-05-22 21:38:00,507 INFO | Server [3] is listening !
2023-05-22 21:38:00,508 INFO | Server [4] was established !
2023-05-22 21:38:00,508 INFO | Server [4] is listening !
2023-05-22 21:38:00,510 INFO | Server [5] was established !
2023-05-22 21:38:00,510 INFO | Server [5] is listening !
2023-05-22 21:38:00,511 INFO | Server [6] was established !
2023-05-22 21:38:00,513 INFO | Server [6] is listening !
2023-05-22 21:38:00,513 INFO | Server [7] was established !
2023-05-22 21:38:00,513 INFO | Server [7] is listening !
2023-05-22 21:38:00,514 INFO | Client [0] was established !
2023-05-22 21:38:00,515 INFO | Client [0] is listening!
2023-05-22 21:38:00,577 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:38:00,579 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:38:00,902 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:38:00,904 INFO 0 <---- 2 with PREPARE - [0, 0]
2023-05-22 21:38:01,028 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:38:01,124 INFO 3 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:38:01,127 INFO 0 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:38:01,358 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:38:01,404 INFO 1 <---- 2 with PREPARE - [0, 0]
2023-05-22 21:38:01,420 INFO 1 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:38:01,591 INFO 4 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:38:01,594 INFO 0 <---- 4 with PREPARE - [0, 0]
2023-05-22 21:38:01,596 INFO 1 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:01,606 INFO 2 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:38:01,661 INFO 3 <---- 2 with PREPARE - [0, 0]
2023-05-22 21:38:01,731 INFO 1 <---- 4 with PREPARE - [0, 0]
2023-05-22 21:38:01,746 INFO 2 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:01,809 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:38:01,838 INFO 4 <---- 2 with PREPARE - [0, 0]
2023-05-22 21:38:01,980 INFO 5 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:38:01,983 INFO 0 <---- 5 with PREPARE - [0, 0]
2023-05-22 21:38:02,044 INFO 5 <---- 2 with PREPARE - [0, 0]
2023-05-22 21:38:02,059 INFO 3 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:02,105 INFO 4 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:38:02,137 INFO 2 <---- 4 with PREPARE - [0, 0]
2023-05-22 21:38:02,232 INFO 6 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:38:02,236 INFO 0 <---- 6 with PREPARE - [0, 0]
2023-05-22 21:38:02,262 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:38:02,310 INFO 1 <---- 5 with PREPARE - [0, 0]
2023-05-22 21:38:02,313 INFO 0 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:02,340 INFO 3 <---- 4 with PREPARE - [0, 0]
2023-05-22 21:38:02,342 INFO 4 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:02,403 INFO 1 <---- 6 with PREPARE - [0, 0]
2023-05-22 21:38:02,420 INFO 5 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:38:02,435 INFO 2 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:02,466 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:38:02,468 INFO 6 <---- 2 with PREPARE - [0, 0]
2023-05-22 21:38:02,514 INFO 5 <---- 4 with PREPARE - [0, 0]
2023-05-22 21:38:02,516 INFO 0 <---- 5 with COMMIT - [0, 0]
2023-05-22 21:38:02,530 INFO 7 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:38:02,532 INFO 0 <---- 7 with PREPARE - [0, 0]
2023-05-22 21:38:02,545 INFO 6 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:38:02,591 INFO 3 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:02,639 INFO 2 <---- 5 with PREPARE - [0, 0]
2023-05-22 21:38:02,643 INFO 0 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:02,684 INFO 1 <---- 5 with COMMIT - [0, 0]
2023-05-22 21:38:02,733 INFO 4 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:02,747 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:38:02,780 INFO 5 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:02,782 INFO 7 <---- 2 with PREPARE - [0, 0]
2023-05-22 21:38:02,810 INFO 7 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:38:02,841 INFO 2 <---- 5 with COMMIT - [0, 0]
2023-05-22 21:38:02,857 INFO 2 <---- 6 with PREPARE - [0, 0]
2023-05-22 21:38:02,919 INFO 6 <---- 4 with PREPARE - [0, 0]
2023-05-22 21:38:02,922 INFO 0 <---- 6 with COMMIT - [0, 0]
2023-05-22 21:38:02,922 INFO @@@
2023-05-22 21:38:02,924 INFO Client [0] has received message :result, from ['127.0.0.1', 53757] with number [0, 0]
2023-05-22 21:38:02,932 INFO 1 <---- 7 with PREPARE - [0, 0]
2023-05-22 21:38:02,998 INFO 1 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:03,061 INFO 3 <---- 5 with PREPARE - [0, 0]
2023-05-22 21:38:03,109 INFO 5 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:03,111 INFO 1 <---- 6 with COMMIT - [0, 0]
2023-05-22 21:38:03,112 INFO @@@
2023-05-22 21:38:03,113 INFO 3 <---- 5 with COMMIT - [0, 0]
2023-05-22 21:38:03,115 INFO Client [0] has received message :result, from ['127.0.0.1', 53758] with number [0, 0]
2023-05-22 21:38:03,122 INFO 6 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:03,181 INFO 0 <---- 1 with PRE_PREPARE [1, 0]
2023-05-22 21:38:03,181 INFO 0 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:03,182 INFO 0 <---- 1 with PRE_PREPARE [1, 1]
2023-05-22 21:38:03,184 INFO 1 <---- 0 with PREPARE - [1, 0]
2023-05-22 21:38:03,185 INFO 1 <---- 0 with PREPARE - [1, 1]
2023-05-22 21:38:03,245 INFO 2 <---- 7 with PREPARE - [0, 0]
2023-05-22 21:38:03,247 INFO 3 <---- 6 with PREPARE - [0, 0]
2023-05-22 21:38:03,250 INFO 1 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:03,294 INFO 4 <---- 5 with COMMIT - [0, 0]
2023-05-22 21:38:03,308 INFO 4 <---- 5 with PREPARE - [0, 0]
2023-05-22 21:38:03,311 INFO 0 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:03,341 INFO 7 <---- 4 with PREPARE - [0, 0]
2023-05-22 21:38:03,344 INFO 2 <---- 1 with PRE_PREPARE [1, 1]
2023-05-22 21:38:03,345 INFO 0 <---- 7 with COMMIT - [0, 0]
2023-05-22 21:38:03,348 INFO 0 <---- 2 with PREPARE - [1, 1]
2023-05-22 21:38:03,356 INFO 2 <---- 6 with COMMIT - [0, 0]
2023-05-22 21:38:03,356 INFO @@@
2023-05-22 21:38:03,359 INFO Client [0] has received message :result, from ['127.0.0.1', 53759] with number [0, 0]
2023-05-22 21:38:03,359 INFO Number [0, 0] has reached an agreement ! 
2023-05-22 21:38:03,364 INFO 0 <---- 1 with PRE_PREPARE [1, 2]
2023-05-22 21:38:03,366 INFO 1 <---- 0 with PREPARE - [1, 2]
2023-05-22 21:38:03,387 INFO 4 <---- 6 with PREPARE - [0, 0]
2023-05-22 21:38:03,389 INFO 2 <---- 1 with PRE_PREPARE [1, 0]
2023-05-22 21:38:03,392 INFO 0 <---- 2 with PREPARE - [1, 0]
2023-05-22 21:38:03,514 INFO 6 <---- 5 with COMMIT - [0, 0]
2023-05-22 21:38:03,516 INFO 2 <---- 0 with PREPARE - [1, 1]
2023-05-22 21:38:03,519 INFO 6 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:03,527 INFO 6 <---- 5 with PREPARE - [0, 0]
2023-05-22 21:38:03,543 INFO 7 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:03,575 INFO 2 <---- 0 with PREPARE - [1, 2]
2023-05-22 21:38:03,623 INFO 1 <---- 2 with PREPARE - [1, 0]
2023-05-22 21:38:03,625 INFO 1 <---- 7 with COMMIT - [0, 0]
2023-05-22 21:38:03,637 INFO 2 <---- 0 with PREPARE - [1, 0]
2023-05-22 21:38:03,656 INFO 5 <---- 6 with PREPARE - [0, 0]
2023-05-22 21:38:03,686 INFO 2 <---- 0 with COMMIT - [0, 0]
2023-05-22 21:38:03,733 INFO 4 <---- 1 with PRE_PREPARE [1, 0]
2023-05-22 21:38:03,737 INFO 4 <---- 6 with COMMIT - [0, 0]
2023-05-22 21:38:03,739 INFO @@@
2023-05-22 21:38:03,740 INFO 0 <---- 4 with PREPARE - [1, 0]
2023-05-22 21:38:03,742 INFO Client [0] has received message :result, from ['127.0.0.1', 53761] with number [0, 0]
2023-05-22 21:38:03,747 INFO 0 <---- 1 with PRE_PREPARE [1, 3]
2023-05-22 21:38:03,750 INFO 1 <---- 0 with PREPARE - [1, 3]
2023-05-22 21:38:03,762 INFO 7 <---- 5 with COMMIT - [0, 0]
