2023-05-24 02:00:45,454 INFO 2 <---- 0 with PRE_PREPARE [0, 6]
2023-05-24 02:00:45,456 INFO 2 <---- 0 with PRE_PREPARE [0, 7]
2023-05-24 02:00:45,459 INFO 0 <---- 2 with PREPARE - [0, 6]
2023-05-24 02:00:45,461 INFO 0 <---- 1 with PREPARE - [0, 7]
2023-05-24 02:00:45,471 INFO 1 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:00:45,482 INFO 2 <---- 1 with PREPARE - [0, 9]
2023-05-24 02:00:45,483 INFO 4 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:00:45,497 INFO 2 <---- 1 with PREPARE - [0, 6]
2023-05-24 02:00:45,516 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:00:45,534 INFO 3 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:00:45,535 INFO 2 <---- 1 with PREPARE - [0, 8]
2023-05-24 02:00:45,544 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:00:45,545 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:00:45,545 INFO 1 <---- 3 with PREPARE - [0, 1]
2023-05-24 02:00:45,545 INFO 3 <---- 0 with PRE_PREPARE [0, 5]
2023-05-24 02:00:45,547 INFO 0 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:00:45,558 INFO 2 <---- 0 with PRE_PREPARE [0, 9]
2023-05-24 02:00:45,560 INFO 0 <---- 1 with PREPARE - [0, 9]
2023-05-24 02:00:45,575 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:00:45,590 INFO 1 <---- 3 with PREPARE - [0, 3]
2023-05-24 02:00:45,621 INFO 1 <---- 4 with PREPARE - [0, 2]
2023-05-24 02:00:45,623 INFO 4 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:00:45,638 INFO 3 <---- 2 with PREPARE - [0, 3]
2023-05-24 02:00:45,639 INFO 2 <---- 0 with COMMIT - [0, 3]
2023-05-24 02:00:45,640 INFO 5 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:00:45,654 INFO 5 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:00:45,655 INFO 4 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:00:45,656 INFO 3 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:00:45,657 INFO 4 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:00:45,668 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:00:45,668 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:00:45,668 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:00:45,668 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:00:45,687 INFO 1 <---- 0 with COMMIT - [0, 1]
2023-05-24 02:00:45,689 INFO 1 <---- 0 with COMMIT - [0, 0]
2023-05-24 02:00:45,703 INFO 5 <---- 1 with PREPARE - [0, 1]
